local_class_folder,folder_name,normalized_label,image_count,matched_project_targets,usable_for_first_baseline
data\images\local_dataset\raw\stanford_dogs\Images\n02100236-German_short-haired_pointer,n02100236-German_short-haired_pointer,german short haired pointer,152,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02100583-vizsla,n02100583-vizsla,vizsla,154,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02100735-English_setter,n02100735-English_setter,english setter,161,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02100877-Irish_setter,n02100877-Irish_setter,irish setter,155,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02101006-Gordon_setter,n02101006-Gordon_setter,gordon setter,153,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02101388-Brittany_spaniel,n02101388-Brittany_spaniel,brittany spaniel,152,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02101556-clumber,n02101556-clumber,clumber,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02102040-English_springer,n02102040-English_springer,english springer,159,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02102177-Welsh_springer_spaniel,n02102177-Welsh_springer_spaniel,welsh springer spaniel,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02102318-cocker_spaniel,n02102318-cocker_spaniel,cocker spaniel,159,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02102480-Sussex_spaniel,n02102480-Sussex_spaniel,sussex spaniel,151,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02102973-Irish_water_spaniel,n02102973-Irish_water_spaniel,irish water spaniel,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02104029-kuvasz,n02104029-kuvasz,kuvasz,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02104365-schipperke,n02104365-schipperke,schipperke,154,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02105056-groenendael,n02105056-groenendael,groenendael,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02105162-malinois,n02105162-malinois,malinois,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02105251-briard,n02105251-briard,briard,152,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02105412-kelpie,n02105412-kelpie,kelpie,153,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02105505-komondor,n02105505-komondor,komondor,154,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02105641-Old_English_sheepdog,n02105641-Old_English_sheepdog,old english sheepdog,169,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02105855-Shetland_sheepdog,n02105855-Shetland_sheepdog,shetland sheepdog,157,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02106030-collie,n02106030-collie,collie,153,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02106166-Border_collie,n02106166-Border_collie,border collie,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02106382-Bouvier_des_Flandres,n02106382-Bouvier_des_Flandres,bouvier des flandres,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02106550-Rottweiler,n02106550-Rottweiler,rottweiler,152,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02106662-German_shepherd,n02106662-German_shepherd,german shepherd,152,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02107142-Doberman,n02107142-Doberman,doberman,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02107312-miniature_pinscher,n02107312-miniature_pinscher,miniature pinscher,184,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02107574-Greater_Swiss_Mountain_dog,n02107574-Greater_Swiss_Mountain_dog,greater swiss mountain dog,168,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02107683-Bernese_mountain_dog,n02107683-Bernese_mountain_dog,bernese mountain dog,218,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02107908-Appenzeller,n02107908-Appenzeller,appenzeller,151,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02108000-EntleBucher,n02108000-EntleBucher,entlebucher,202,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089-boxer,boxer,151,Boxer,yes_if_reviewed
data\images\local_dataset\raw\stanford_dogs\Images\n02108422-bull_mastiff,n02108422-bull_mastiff,bull mastiff,156,Bullmastiff,yes_if_reviewed
data\images\local_dataset\raw\stanford_dogs\Images\n02108551-Tibetan_mastiff,n02108551-Tibetan_mastiff,tibetan mastiff,152,Tibetan Mastiff,yes_if_reviewed
data\images\local_dataset\raw\stanford_dogs\Images\n02108915-French_bulldog,n02108915-French_bulldog,french bulldog,159,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02109047-Great_Dane,n02109047-Great_Dane,great dane,156,Great Dane,yes_if_reviewed
data\images\local_dataset\raw\stanford_dogs\Images\n02109525-Saint_Bernard,n02109525-Saint_Bernard,saint bernard,170,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02109961-Eskimo_dog,n02109961-Eskimo_dog,eskimo dog,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02110063-malamute,n02110063-malamute,malamute,178,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02110185-Siberian_husky,n02110185-Siberian_husky,siberian husky,192,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02110627-affenpinscher,n02110627-affenpinscher,affenpinscher,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02110806-basenji,n02110806-basenji,basenji,209,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02110958-pug,n02110958-pug,pug,200,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02111129-Leonberg,n02111129-Leonberg,leonberg,210,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02111277-Newfoundland,n02111277-Newfoundland,newfoundland,195,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02111500-Great_Pyrenees,n02111500-Great_Pyrenees,great pyrenees,213,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02111889-Samoyed,n02111889-Samoyed,samoyed,218,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02112018-Pomeranian,n02112018-Pomeranian,pomeranian,219,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02112137-chow,n02112137-chow,chow,196,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02112350-keeshond,n02112350-keeshond,keeshond,158,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02112706-Brabancon_griffon,n02112706-Brabancon_griffon,brabancon griffon,153,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02113023-Pembroke,n02113023-Pembroke,pembroke,181,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02113186-Cardigan,n02113186-Cardigan,cardigan,155,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02113624-toy_poodle,n02113624-toy_poodle,toy poodle,151,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02113712-miniature_poodle,n02113712-miniature_poodle,miniature poodle,155,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02113799-standard_poodle,n02113799-standard_poodle,standard poodle,159,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02113978-Mexican_hairless,n02113978-Mexican_hairless,mexican hairless,155,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02115641-dingo,n02115641-dingo,dingo,156,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02115913-dhole,n02115913-dhole,dhole,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02116738-African_hunting_dog,n02116738-African_hunting_dog,african hunting dog,169,,possible_other_class_or_ignore
